Month,count,mean,std,min,25%,50%,75%,max
1,217.0,16.32811059907833,2.814675928113894,10.3,14.4,16.2,18.0,28.0
2,198.0,15.893434343434347,2.6475939317892068,10.0,13.7,15.8,17.9,23.5
3,217.0,14.675115207373265,3.0570846846420903,8.5,12.4,14.4,16.6,25.1
4,187.0,12.05454545454546,2.7134508009667075,6.2,10.149999999999999,11.9,13.6,22.1
5,186.0,10.0483870967742,2.742049456577888,3.6,7.824999999999999,10.2,12.1,17.1
6,180.0,7.448333333333332,2.5904740620052125,1.7,5.375000000000001,7.6,9.5,13.0
7,186.0,7.465053763440864,2.3789878036818184,0.6,6.1,7.8,9.174999999999999,12.7
8,186.0,7.653225806451607,2.383210490205959,0.8,5.8,7.85,9.375,15.3
9,180.0,9.185555555555554,2.7548458518195535,3.4,7.4,9.0,10.724999999999998,17.1
10,186.0,11.044623655913977,2.9783902995608984,4.2,9.2,10.7,12.9,21.7
11,180.0,12.87611111111111,3.250635758855083,6.4,10.8,12.1,14.8,22.8
12,186.0,14.672043010752681,3.3687712281081468,8.8,12.3,14.1,16.375,27.0
