Census year,Block ID,CLUE small area,Accommodation,Admin and Support Services,Agriculture and Mining,Arts and Recreation Services,Business Services,Construction,Education and Training,"Electricity, Gas, Water and Waste Services",Finance and Insurance,Food and Beverage Services,Health Care and Social Assistance,Information Media and Telecommunications,Manufacturing,Other Services,Public Administration and Safety,Real Estate Services,Rental and Hiring Services,Retail Trade,"Transport, Postal and Storage",Wholesale Trade,Total floor space in block
2022,913,Parkville,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
2022,915,Parkville,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,,0,1030.64
2022,916,Parkville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,917,Parkville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,919,Parkville,0,0,0,0,0,0,,0,,936.27,,0,0,,0,0,0,,0,0,117279.31
2022,930,Parkville,0,0,0,0,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,78842.1
2022,1009,West Melbourne (Industrial),0,0,0,,0,0,0,0,0,,0,,0,0,0,0,0,0,22111.78,0,22348.39
2022,1012,North Melbourne,0,,0,0,,,,,0,0,0,0,,,0,0,0,0,7940.7,,29666.12
2022,1013,West Melbourne (Industrial),0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,6365.86
2022,1102,Docklands,,,0,0,615.74,172.92,458.77,0,,556.52,,5755.9,,8619.79,,,0,0,,,49547.52
2022,1103,Docklands,,,0,262485.31,8878.08,,,,96538.16,22344.12,600.23,,,1751.14,,2122.16,0,454.12,,0,428755.45
2022,1106,Docklands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,1112,Docklands,0,0,0,,0,0,0,0,,278.51,0,0,0,,0,0,0,,0,0,8269.77
2022,2381,North Melbourne,0,,0,0,397.64,,,0,0,0,,0,0,,0,0,0,0,,,7044.04
2022,2382,North Melbourne,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,602.9
2022,2383,North Melbourne,0,,0,0,0,0,,,0,0,,0,0,,0,0,0,,0,0,9525.9
2022,2385,North Melbourne,0,,0,,0,0,,,0,,,0,387.27,0,0,0,0,,0,,14120.78
2022,2386,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,
2022,2387,North Melbourne,0,0,0,0,,,,0,,0,0,0,0,,0,0,0,0,0,4249.91,19302.8
2022,2392,North Melbourne,0,0,0,0,0,0,0,0,0,207.29,,0,0,,0,0,0,632.78,0,0,1165.92
2022,2503,Kensington,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022,2508,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,2509,Kensington,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022,2512,Kensington,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022,2517,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,2521,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,
2022,2522,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,2524,Kensington,0,,0,,,0,0,0,0,685.74,,0,,606.14,0,,0,1608.43,,0,8890.54
2022,2525,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,2528,Kensington,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,
2022,2530,Kensington,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,1557.09
2022,2531,Kensington,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,3186.9
2022,2534,Kensington,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,,4385.1
2022,2536,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,2542,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,2543,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,2548,Kensington,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2021,1,Melbourne (CBD),0,,0,,3006,0,0,,1795.2,531.56,0,0,0,11422.7,0,0,,,,0,32509.83
2021,4,Melbourne (CBD),0,0,0,5785.4,0,0,,0,0,2147.26,,0,0,,,0,0,571.29,12217.11,0,23179.42
2021,5,Melbourne (CBD),0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,,0,0,151.31
2021,11,Melbourne (CBD),38572.54,993.99,0,499.24,2322.97,,0,0,,2322.78,1655.43,,,5710.59,0,1144.2,0,352.82,,0,54843.59
2021,13,Melbourne (CBD),,4635.84,,,9479.67,,1376,,4807.31,1209.75,,2087.08,990.86,8624.55,0,,0,761.64,,0,60748.93
2021,16,Melbourne (CBD),,,0,5941.32,2171.7,0,,0,528.3,3033.41,,0,0,19311.5,,,0,2528.04,0,0,43318.71
2021,21,Melbourne (CBD),,6388.2,0,,16560.62,9434.88,0,13238.42,1538.46,2088.94,,2087.33,,,35703.31,,0,,,0,147146
2021,23,Melbourne (CBD),,2060.7,,,36388.9,0,960,0,5090.94,2864.36,1126.7,,0,5162.5,,5743.31,0,1603.32,0,,96980.22
2021,34,Melbourne (CBD),,11672.02,1124.35,,24898.12,632.22,6428.01,,58484.73,5388.19,1686.82,,872.45,7353.13,,3840.88,0,5415.75,556.99,459.72,137613.66
2021,36,Melbourne (CBD),17830.37,4188.65,0,,1781.72,0,0,,13363.74,2239.78,,,59,6902.89,9910.99,0,0,1654.82,0,0,60201.48
2021,37,Melbourne (CBD),27765.96,2996.25,,,14574.55,,0,,33862.98,4942.72,1461.2,1997.85,,11774.89,25867.34,6342,0,2557.4,0,676,142929.94
2021,44,Melbourne (CBD),0,3163.03,0,0,12099.35,530.7,,,28104.42,2393.09,343.2,0,241.38,10713.49,,4607.55,0,3695.88,0,,66839.18
2021,45,Melbourne (CBD),,,0,,499,0,,0,,2004.69,,,,1148.62,,5929.28,0,28081.06,0,,45615.31
2021,48,Melbourne (CBD),,217.35,0,851.14,5102.64,,,,1303.96,5438.75,3956.06,0,,33001.7,,,,2157.3,0,,64366.06
2021,54,Melbourne (CBD),0,2550.7,,1082.2,11212.24,,7253.9,0,1269.4,4543.2,1797.9,,,13512.97,0,656.78,0,4629.71,,0,50032.74
2021,58,Melbourne (CBD),22214.33,0,0,,750.15,0,,405.98,,8297.22,0,0,184.48,4634.59,,0,0,1948.95,,,48394.32
2021,61,Melbourne (CBD),,0,0,0,0,0,,,0,5491.46,,,,307.19,0,,0,653.89,,0,28031.7
2021,74,Melbourne (CBD),,3026.36,0,,8879.33,,2461.8,0,1060.25,7222.83,,,,2332.84,0,917.82,0,2664.71,0,,55885.72
2021,77,Melbourne (CBD),14741.42,,,0,11193.06,,9461.6,0,1916.7,2336.63,4515.33,0,0,4843.53,,,0,,0,0,56610.94
2021,83,Melbourne (CBD),0,0,0,,0,0,,0,0,1738.2,0,0,,,,0,0,,0,0,31267.28
2021,84,Melbourne (CBD),,,0,,2975.18,,,,,3535.13,0,0,0,5576.29,0,704.97,0,1203.81,0,0,20487.84
2021,86,Melbourne (CBD),0,0,0,,0,0,0,0,0,865.44,0,,0,2380.2,0,0,0,,0,0,36447.9
2021,92,West Melbourne (Residential),0,0,0,73315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73315
2021,94,Melbourne (CBD),,,0,0,8853.46,2043.18,15571.17,0,0,844.54,,,0,21864.31,,1119.14,0,1356.5,0,0,95676.25
2021,95,Melbourne (CBD),,,0,,574.91,,8649.46,0,,4663.23,773.24,0,0,753.2,0,,0,948.18,0,0,38246.45
2021,101,West Melbourne (Residential),0,0,0,0,0,,,,0,,,0,,4394.5,0,0,0,0,0,0,22513.53
2021,105,Melbourne (CBD),,0,0,,,0,33514.54,0,0,2527.46,0,0,0,0,0,,,912.02,,0,49639.22
2021,113,Melbourne (CBD),0,,0,0,0,0,0,,0,1851.5,,0,97.95,19355.41,,,0,19557.74,2118.19,0,44193
2021,201,Carlton,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
2021,203,Carlton,1074.4,0,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,2465.49
2021,204,Carlton,,0,0,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0,53282.79
2021,205,Carlton,,0,0,0,0,0,,0,0,497.88,19303.85,,0,0,0,0,0,,0,0,39075.04
2021,207,Carlton,,0,0,0,0,0,,,0,2834.33,,0,0,,0,0,0,1231.8,0,0,9374.24
2021,214,Carlton,,,0,0,1139.39,0,0,0,0,,,0,,,0,0,0,706.2,0,,3375.91
2021,215,Carlton,1579.75,0,0,,0,0,0,0,0,808.41,,,0,,,0,0,428.79,,0,3741.93
2021,216,Carlton,0,0,0,0,,0,0,0,0,1195.26,0,0,,967.57,0,0,,1083.93,0,0,3620.49
2021,218,Carlton,,283.29,0,1287.85,1738.84,,,0,1067.77,2797.69,521.39,0,878.02,10106.56,0,,0,751.16,0,0,26570.21
2021,219,Carlton,643.11,0,0,0,,0,,0,0,,,0,0,0,0,0,0,0,0,0,2392.28
2021,224,Carlton,,0,0,0,,0,0,0,0,,550.58,0,1975.6,,0,,0,202.3,0,0,3981.32
2021,225,Carlton,0,0,0,,,0,0,0,,414.06,0,0,0,,0,0,0,,0,0,1221.07
2021,227,Carlton,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,
2021,229,Carlton,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
2021,233,Carlton,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,2723.4
2021,237,Carlton,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
2021,239,Carlton,,0,0,0,22317.5,0,3751.59,0,,,1864.35,,0,,,0,0,,0,0,33689.96
2021,244,Carlton,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2021,249,Carlton,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2021,250,Carlton,0,0,0,,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,62455.51
2021,254,Carlton,0,419.3,0,0,1762.71,0,,0,0,2103.99,1139.61,0,0,3489.06,0,0,0,741.61,,0,9991.23
2021,258,Carlton,,0,0,0,,0,,0,0,,,,,0,0,0,0,0,0,0,29360.64
2021,259,Carlton,,0,0,0,0,0,,,0,,0,,0,,0,0,0,0,0,0,27712.59
2021,262,Carlton,0,0,0,0,561.6,0,0,0,0,,0,0,0,,0,0,0,0,0,0,1050.46
2021,263,Carlton,,0,0,0,2330.12,0,,1566.57,0,830.94,,0,0,8048.12,,,0,,0,0,44115.85
2021,264,Carlton,,0,0,,,0,,0,0,,,0,,0,0,0,0,,0,,15962.53
2021,265,Carlton,25008.6,,0,0,,0,23444.81,0,0,1849.11,0,,,8586.09,,,0,,0,0,63721.77
2021,270,Parkville,0,,0,42848.59,0,0,240896.5,0,,3288.31,0,0,0,,0,0,0,231.82,,0,297836.11
2021,273,Carlton,0,0,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,442580
2021,301,North Melbourne,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,,0,0,374.1
2021,311,North Melbourne,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
2021,312,North Melbourne,0,,0,0,2536.79,0,0,,0,,0,0,0,0,0,0,0,0,0,,3586.97
2021,314,North Melbourne,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9456.6
2021,315,North Melbourne,0,0,0,46502.11,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,46646.48
2021,316,North Melbourne,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2021,317,North Melbourne,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,
2021,318,North Melbourne,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,
2021,319,North Melbourne,0,0,0,0,0,0,0,0,0,217.12,0,,0,8616.56,0,0,0,4329.84,,0,50536.72
2021,321,North Melbourne,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2021,325,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,327,North Melbourne,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,,0,0,584
2021,328,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,331,North Melbourne,0,0,0,0,,0,0,0,0,0,0,,0,1843.19,0,0,0,,0,,4002.35
2021,333,North Melbourne,0,0,0,0,0,0,,0,,,0,0,0,,0,,0,1080.18,0,,3305.78
2021,334,North Melbourne,0,0,0,0,687.2,0,0,0,,,0,0,,,0,0,0,,0,0,1828.24
2021,335,North Melbourne,0,,0,0,1179.74,,,0,236.5,,,0,,,0,,0,,0,,4257.94
2021,339,North Melbourne,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2021,344,North Melbourne,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,4063.3
2021,355,North Melbourne,,,,0,2437.53,,0,0,,,,0,,536.32,0,,0,,,0,7149.03
2021,359,North Melbourne,0,,0,0,642.99,,,,0,,401.49,0,0,,,0,0,,,0,2967.24
2021,363,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,
2021,367,North Melbourne,,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,2534.45
2021,368,North Melbourne,,0,0,0,0,0,0,0,0,0,0,0,,1238.7,0,0,0,0,0,0,6568.27
2021,373,North Melbourne,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
2021,379,North Melbourne,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,
2021,402,West Melbourne (Residential),0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2021,407,West Melbourne (Residential),0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2021,410,West Melbourne (Residential),0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
2021,414,West Melbourne (Residential),,,0,0,861.19,0,,0,,,0,0,0,,0,0,0,0,0,0,3865.42
2021,416,West Melbourne (Residential),0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2021,420,West Melbourne (Residential),,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5973.45
2021,425,West Melbourne (Residential),0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,
2021,426,West Melbourne (Residential),0,0,0,0,1326.9,0,0,0,0,0,,0,0,,,0,0,,,0,12348.99
2021,429,West Melbourne (Residential),0,,0,,1254.79,0,,0,0,0,0,0,0,,0,0,0,0,,0,4080.26
2021,439,West Melbourne (Residential),0,0,0,0,1064.19,0,0,,,,0,0,0,1129.88,0,,0,,0,,9506.5
2021,440,West Melbourne (Residential),0,0,0,,1349.28,0,,0,0,,,0,,,0,,0,0,0,0,5368.9
2021,444,West Melbourne (Residential),0,,0,0,5256.4,0,,0,0,,,0,0,,,0,0,0,0,,13353.64
2021,503,Kensington,0,0,0,,3637.73,4719.5,,0,0,2617.28,0,0,4002.21,,,0,,1801,,5320.94,31674.16
2021,505,Kensington,0,0,0,0,,,0,0,0,1301.85,0,,,4205.53,0,0,0,,0,0,9259
2021,510,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,512,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,
2021,513,Kensington,0,0,0,0,,0,0,0,0,,0,,0,0,0,0,0,,0,,3057.88
2021,514,Kensington,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2021,516,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,517,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,519,Kensington,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,102501
2021,526,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,
2021,528,Kensington,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2021,529,Kensington,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2021,531,Kensington,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2021,533,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,535,Kensington,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
2021,541,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,542,Kensington,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2021,543,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,544,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,547,Kensington,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
2021,549,Kensington,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2021,553,Kensington,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2021,554,Kensington,0,0,0,61141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61141
2021,557,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,558,Kensington,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,206
2021,565,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,566,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,569,Kensington,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2021,602,East Melbourne,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2021,606,East Melbourne,,0,0,0,613.52,0,0,0,0,,2931.77,0,0,,0,0,0,0,0,0,6834.6
2021,609,East Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,610,East Melbourne,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2021,613,East Melbourne,2512.01,0,0,,,0,0,0,0,540.28,1790.46,0,0,681.59,,,0,,0,0,7270.67
2021,614,East Melbourne,,0,0,0,0,0,0,0,0,,30338.49,0,0,,0,0,0,,0,0,41316.91
2021,615,East Melbourne,0,0,0,0,0,0,0,0,0,,25106.29,0,0,0,0,0,0,,0,0,25940.43
2021,617,East Melbourne,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,,0,0,1621.82
2021,621,East Melbourne,0,,0,,1565.8,0,19108.2,0,,,2444.4,0,0,6628.05,0,0,0,,0,,35350.4
2021,645,East Melbourne,0,0,0,,0,0,0,0,0,,15419.76,0,0,0,0,0,0,0,0,0,17241.18
2021,646,East Melbourne,,326.42,0,0,2328.93,0,,0,0,,5343.34,,0,10412.18,0,,0,0,0,0,21358.56
2021,649,East Melbourne,0,0,0,,,0,0,0,0,,0,0,0,,13921.21,0,0,,0,0,26490.36
2021,652,East Melbourne,0,0,0,,0,0,0,0,0,,0,0,0,,74101.2,0,0,0,0,0,77320.2
2021,654,Melbourne (Remainder),0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,
2021,657,East Melbourne,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,
2021,658,East Melbourne,0,,0,381430.35,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,399512.65
2021,661,East Melbourne,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2021,720,Melbourne (Remainder),0,0,0,,7222.89,,0,0,4151.5,1219.08,2637.05,0,240.87,3761.93,0,308.96,0,896.67,0,6332.22,27863.38
2021,724,Melbourne (Remainder),0,0,0,0,,0,,0,,5822,,0,0,,,,0,,0,0,28642.22
2021,731,Southbank,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
2021,733,Southbank,,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,9349.19
2021,735,Southbank,0,0,0,0,,0,,,0,0,0,0,0,,0,,0,0,0,,5882.35
2021,736,Southbank,,0,0,,0,0,0,,0,,,0,0,,0,0,0,,,0,26478.71
2021,737,Southbank,0,0,0,0,,0,,,0,0,0,0,0,0,,0,0,0,0,0,11749.07
2021,738,Southbank,0,0,0,4105.78,0,0,,,0,,0,,0,0,,0,0,0,0,0,23169.52
2021,740,Southbank,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,,,0,15138.17
2021,743,Southbank,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2021,752,Southbank,0,0,0,71649.01,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,104993.73
2021,753,Southbank,,3397.14,0,,13671.26,,0,3889.53,4939.78,8150.57,1757.74,,12150.48,45079.34,,,0,11316.76,4219.18,,163897.37
2021,771,Docklands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,772,Docklands,0,,0,0,1796.93,,,0,,0,,,0,0,,0,0,,,,9966.15
2021,774,Port Melbourne,0,0,0,0,0,,0,0,0,,0,,,0,,0,0,,0,0,21377.45
2021,775,Port Melbourne,0,,0,0,2861.29,3082.14,0,0,0,0,,918.13,5890.02,0,,0,,,,,23683.68
2021,778,Port Melbourne,0,,0,0,16713.72,2956.39,,0,0,0,,,4914.18,0,0,,0,3138.68,0,5286.14,37460.05
2021,780,Port Melbourne,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,
2021,781,Port Melbourne,,1335.99,0,,2943.54,5576.84,0,,,,,2005.26,49673.66,,1548.63,,0,1693.71,957.4,5926.21,76322.25
2021,785,Port Melbourne,0,0,0,0,0,,,0,0,,0,0,,0,,0,0,,9738.79,,32314.41
2021,786,Port Melbourne,0,0,,66165.12,2888,4255.4,,0,0,418.25,,23565.05,13775.67,2673.66,,0,,,,1091.09,254865.86
2021,788,Port Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,
2021,789,Port Melbourne,0,0,0,,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,459110.19
2021,790,Port Melbourne,0,19232.39,0,,7442.05,11573.29,8924.22,5030.41,0,,,5668.65,21828.04,6064.24,,,4521.15,2357.46,1509.61,32229.65,131676.06
2021,791,Port Melbourne,0,,0,0,3581.41,,,0,0,0,0,0,65221.77,,0,0,,0,,,91623.04
2021,801,Southbank,,2658.95,0,,36025.24,,0,,3193.28,4133.35,,,0,,,,0,2943.15,,0,112827.3
2021,812,Southbank,51272.89,0,0,,6075.86,,,0,618.58,790.87,1142.27,0,,,0,0,0,458.64,0,0,64695.14
2021,814,Southbank,0,0,0,3833.7,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,7276.2
2021,815,Southbank,,0,0,0,0,,0,0,0,,0,,0,0,0,,0,,0,0,13435.25
2021,851,Melbourne (Remainder),0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2021,852,Melbourne (Remainder),0,,0,861434.59,0,,0,,0,1909.36,0,0,0,,0,0,0,,0,0,866759.1
2021,855,South Yarra,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,22005.7
2021,858,South Yarra,,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,3432.94
2021,859,South Yarra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,861,South Yarra,0,0,0,0,0,0,1773.65,,0,1951.15,0,0,,,0,0,0,230.16,0,0,4113.67
2021,863,Melbourne (Remainder),0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,
2021,906,Parkville,,,0,0,8269.04,0,,0,606.31,,,0,,1184.1,,0,0,,0,,25964.04
2021,910,Parkville,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,
2021,912,Parkville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,917,Parkville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,921,Parkville,0,0,0,0,1853.65,0,47901.8,0,0,,,0,0,0,0,0,0,0,0,0,50439.33
2021,927,Parkville,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,2262.8
2021,929,Parkville,0,0,0,,0,0,,0,0,,30050.58,0,0,0,,0,0,0,0,0,47336.99
2021,1001,West Melbourne (Industrial),0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,673300.51
2021,1004,West Melbourne (Industrial),0,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,,113912,0,119185.1
2021,1006,West Melbourne (Industrial),0,0,0,,0,0,0,,0,,0,,0,0,0,0,0,0,394438.85,0,420107.55
2021,1009,West Melbourne (Industrial),0,0,0,,0,0,0,0,0,,0,,0,0,0,0,0,0,22111.78,0,22348.39
2021,1013,West Melbourne (Industrial),0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,6365.86
2021,1103,Docklands,,,0,262485.31,8878.08,,,,96538.16,22344.12,600.23,,,1751.14,,2122.16,0,454.12,,0,428755.45
2021,1107,Docklands,0,0,0,5489.6,0,0,,,0,,0,0,0,0,,0,0,0,0,0,26087.52
2021,2383,North Melbourne,0,,0,0,0,,,,0,0,,,0,,0,0,0,,0,,14336.1
2021,2384,North Melbourne,,1612.36,0,,2033.85,,0,0,0,,,0,,,0,0,0,,0,0,12143.15
2021,2387,North Melbourne,0,0,0,0,,,,0,,0,0,0,0,,0,0,,0,0,4249.91,23594.8
2021,2390,North Melbourne,0,1144.15,0,,3792.93,0,,0,0,,0,,,,0,,,0,,3444.56,28266.01
2021,2391,North Melbourne,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
2021,2501,Kensington,0,0,0,21454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21454
2021,2505,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,2508,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,2510,Kensington,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,2645
2021,2516,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,2517,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,2520,Kensington,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,5626.5
2021,2521,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,
2021,2523,Kensington,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,1169.99
2021,2526,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2021,2528,Kensington,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,
